Ground,Margin,Match Date,Scorecard,Team 1,Team 2,Winner,Number of Records
Edinburgh,22 runs,24/05/1999,ODI # 1459,Scotland,Bangladesh,Bangladesh,1
Southampton,7 wickets,24/05/1999,ODI # 1460,New Zealand,West Indies,West Indies,1
Nottingham,7 wickets,25/05/1999,ODI # 1461,England,Zimbabwe,England,1
Amstelveen,7 wickets,26/05/1999,ODI # 1462,Kenya,South Africa,South Africa,1
Taunton,157 runs,26/05/1999,ODI # 1463,India,Sri Lanka,India,1
Chester-le-Street,7 wickets,27/05/1999,ODI # 1464,Australia,Bangladesh,Australia,1
Leicester,8 wickets,27/05/1999,ODI # 1465,Scotland,West Indies,West Indies,1
Derby,62 runs,28/05/1999,ODI # 1466,New Zealand,Pakistan,Pakistan,1
Birmingham,63 runs,,ODI # 1467,England,India,India,1
Chelmsford,48 runs,29/05/1999,ODI # 1468,South Africa,Zimbabwe,Zimbabwe,1
Southampton,45 runs,30/05/1999,ODI # 1469,Kenya,Sri Lanka,Sri Lanka,1
Manchester,6 wickets,30/05/1999,ODI # 1470,Australia,West Indies,Australia,1
Northampton,62 runs,31/05/1999,ODI # 1471,Bangladesh,Pakistan,Bangladesh,1
Edinburgh,6 wickets,31/05/1999,ODI # 1472,Scotland,New Zealand,New Zealand,1
The Oval,77 runs,04/06/1999,ODI # 1473,Australia,India,Australia,1
Nottingham,3 wickets,05/06/1999,ODI # 1474,Pakistan,South Africa,South Africa,1
Leeds,,,ODI # 1475,New Zealand,Zimbabwe,no result,1
Manchester,47 runs,08/06/1999,ODI # 1476,India,Pakistan,India,1
Lord's,44 runs,09/06/1999,ODI # 1477,Australia,Zimbabwe,Australia,1
Birmingham,74 runs,10/06/1999,ODI # 1478,New Zealand,South Africa,South Africa,1
The Oval,148 runs,11/06/1999,ODI # 1479,Pakistan,Zimbabwe,Pakistan,1
Nottingham,5 wickets,12/06/1999,ODI # 1480,India,New Zealand,New Zealand,1
Leeds,5 wickets,13/06/1999,ODI # 1481,Australia,South Africa,Australia,1
Manchester,9 wickets,16/06/1999,ODI # 1482,New Zealand,Pakistan,Pakistan,1
Birmingham,,17/06/1999,ODI # 1483,Australia,South Africa,tied,1
Lord's,8 wickets,20/06/1999,ODI # 1484,Australia,Pakistan,Australia,1
Cape Town,3 runs,09/02/2003,ODI # 1942,South Africa,West Indies,West Indies,1
Harare,86 runs,10/02/2003,ODI # 1943,Zimbabwe,Namibia,Zimbabwe,1
Bloemfontein,47 runs,10/02/2003,ODI # 1944,New Zealand,Sri Lanka,Sri Lanka,1
Johannesburg,82 runs,11/02/2003,ODI # 1945,Australia,Pakistan,Australia,1
Durban,60 runs,11/02/2003,ODI # 1946,Bangladesh,Canada,Canada,1
Potchefstroom,10 wickets,12/02/2003,ODI # 1947,South Africa,Kenya,South Africa,1
Paarl,68 runs,12/02/2003,ODI # 1948,India,Netherlands,India,1
Harare,,13/02/2003,ODI # 1948a,Zimbabwe,England,Zimbabwe,1
Port Elizabeth,20 runs,13/02/2003,ODI # 1949,New Zealand,West Indies,New Zealand,1
Pietermaritzburg,10 wickets,14/02/2003,ODI # 1950,Bangladesh,Sri Lanka,Sri Lanka,1
Centurion,9 wickets,15/02/2003,ODI # 1951,Australia,India,Australia,1
Cape Town,4 wickets,15/02/2003,ODI # 1952,Canada,Kenya,Kenya,1
East London,6 wickets,16/02/2003,ODI # 1953,England,Netherlands,England,1
Kimberley,171 runs,16/02/2003,ODI # 1954,Namibia,Pakistan,Pakistan,1
Johannesburg,9 wickets,16/02/2003,ODI # 1955,South Africa,New Zealand,New Zealand,1
Benoni,,18/02/2003,ODI # 1956,Bangladesh,West Indies,no result,1
Harare,83 runs,19/02/2003,ODI # 1957,Zimbabwe,India,India,1
Paarl,9 wickets,19/02/2003,ODI # 1958,Canada,Sri Lanka,Sri Lanka,1
Port Elizabeth,55 runs,19/02/2003,ODI # 1959,England,Namibia,England,1
Potchefstroom,75 runs,20/02/2003,ODI # 1960,Australia,Netherlands,Australia,1
Nairobi (Gym),,21/02/2003,ODI # 1960a,Kenya,New Zealand,Kenya,1
Bloemfontein,10 wickets,22/02/2003,ODI # 1961,South Africa,Bangladesh,South Africa,1
Cape Town,112 runs,22/02/2003,ODI # 1962,England,Pakistan,England,1
Centurion,7 wickets,23/02/2003,ODI # 1963,Canada,West Indies,West Indies,1
Pietermaritzburg,181 runs,23/02/2003,ODI # 1964,India,Namibia,India,1
Nairobi (Gym),53 runs,24/02/2003,ODI # 1965,Kenya,Sri Lanka,Kenya,1
Bulawayo,7 wickets,24/02/2003,ODI # 1966,Zimbabwe,Australia,Australia,1
Paarl,97 runs,25/02/2003,ODI # 1967,Netherlands,Pakistan,Pakistan,1
Kimberley,7 wickets,26/02/2003,ODI # 1968,Bangladesh,New Zealand,New Zealand,1
Durban,82 runs,26/02/2003,ODI # 1969,England,India,India,1
Potchefstroom,256 runs,27/02/2003,ODI # 1970,Australia,Namibia,Australia,1
East London,118 runs,27/02/2003,ODI # 1971,South Africa,Canada,South Africa,1
Bulawayo,99 runs,28/02/2003,ODI # 1972,Zimbabwe,Netherlands,Zimbabwe,1
Cape Town,6 runs,28/02/2003,ODI # 1973,Sri Lanka,West Indies,Sri Lanka,1
Johannesburg,32 runs,01/03/2003,ODI # 1974,Bangladesh,Kenya,Kenya,1
Centurion,6 wickets,01/03/2003,ODI # 1975,India,Pakistan,India,1
Port Elizabeth,2 wickets,02/03/2003,ODI # 1976,Australia,England,Australia,1
Benoni,5 wickets,03/03/2003,ODI # 1977,Canada,New Zealand,New Zealand,1
Bloemfontein,64 runs,03/03/2003,ODI # 1978,Namibia,Netherlands,Netherlands,1
Durban,,03/03/2003,ODI # 1979,South Africa,Sri Lanka,tied,1
Bulawayo,,04/03/2003,ODI # 1980,Zimbabwe,Pakistan,no result,1
Kimberley,142 runs,04/03/2003,ODI # 1981,Kenya,West Indies,West Indies,1
Centurion,96 runs,07/03/2003,ODI # 1982,Australia,Sri Lanka,Australia,1
Cape Town,6 wickets,07/03/2003,ODI # 1983,India,Kenya,India,1
